45.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: dataTableController.listForLightningWithColumns('Active_Contacts_Decision_Makers_Oppty', '0069A000004K3XtQAK', 'Long_Form', '');
16:55:59.104 (104673961)|USER_INFO|[EXTERNAL]|0059A000001iKfX|test-sxeaxhcnkh9d@example.com|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
16:55:59.104 (104738064)|EXECUTION_STARTED
16:55:59.104 (104761249)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
16:55:59.104 (107380458)|HEAP_ALLOCATE|[79]|Bytes:3
16:55:59.104 (107687463)|HEAP_ALLOCATE|[84]|Bytes:152
16:55:59.104 (108988495)|HEAP_ALLOCATE|[399]|Bytes:408
16:55:59.104 (109131570)|HEAP_ALLOCATE|[412]|Bytes:408
16:55:59.104 (109230757)|HEAP_ALLOCATE|[520]|Bytes:48
16:55:59.104 (109306634)|HEAP_ALLOCATE|[139]|Bytes:6
16:55:59.104 (109357302)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
16:55:59.104 (109565583)|STATEMENT_EXECUTE|[1]
16:55:59.104 (109619421)|STATEMENT_EXECUTE|[1]
16:55:59.104 (109662474)|HEAP_ALLOCATE|[1]|Bytes:37
16:55:59.104 (109687090)|HEAP_ALLOCATE|[1]|Bytes:18
16:55:59.104 (109701093)|HEAP_ALLOCATE|[1]|Bytes:9
16:55:59.104 (110109339)|HEAP_ALLOCATE|[52]|Bytes:5
16:55:59.104 (110422377)|HEAP_ALLOCATE|[58]|Bytes:5
16:55:59.104 (110471149)|HEAP_ALLOCATE|[66]|Bytes:7
16:55:59.104 (110697307)|SYSTEM_MODE_ENTER|false
16:55:59.104 (110745877)|HEAP_ALLOCATE|[1]|Bytes:5
16:55:59.104 (123936887)|HEAP_ALLOCATE|[1]|Bytes:10
16:55:59.104 (124064619)|METHOD_ENTRY|[1]|01p9A000001NDPD|dataTableController.dataTableController()
16:55:59.104 (124105735)|STATEMENT_EXECUTE|[1]
16:55:59.104 (124128776)|STATEMENT_EXECUTE|[1]
16:55:59.104 (124150717)|METHOD_EXIT|[1]|dataTableController
16:55:59.104 (124260685)|METHOD_ENTRY|[1]|01p9A000001NDPD|dataTableController.listForLightningWithColumns(String, String, String, String)
16:55:59.104 (154559619)|VARIABLE_SCOPE_BEGIN|[13]|flowName|String|false|false
16:55:59.104 (157230997)|VARIABLE_ASSIGNMENT|[13]|flowName|"Active_Contacts_Deci (17 more) ..."
16:55:59.104 (157345342)|VARIABLE_SCOPE_BEGIN|[13]|recordId|String|false|false
16:55:59.104 (157437650)|VARIABLE_ASSIGNMENT|[13]|recordId|"0069A000004K3XtQAK"
16:55:59.104 (157476257)|VARIABLE_SCOPE_BEGIN|[13]|fieldsetName|String|false|false
16:55:59.104 (157538735)|VARIABLE_ASSIGNMENT|[13]|fieldsetName|"Long_Form"
16:55:59.104 (157570379)|VARIABLE_SCOPE_BEGIN|[13]|fActions|String|false|false
16:55:59.104 (157696523)|VARIABLE_ASSIGNMENT|[13]|fActions|""
16:55:59.104 (157735818)|STATEMENT_EXECUTE|[13]
16:55:59.104 (157750396)|STATEMENT_EXECUTE|[14]
16:55:59.104 (182659476)|HEAP_ALLOCATE|[14]|Bytes:43
16:55:59.104 (182717929)|HEAP_ALLOCATE|[14]|Bytes:47
16:55:59.104 (182733436)|HEAP_ALLOCATE|[14]|Bytes:25
16:55:59.104 (182799734)|METHOD_ENTRY|[1]|01p9A000001NDPC|FlowUtility.FlowUtility()
16:55:59.104 (182818923)|STATEMENT_EXECUTE|[1]
16:55:59.104 (182830266)|STATEMENT_EXECUTE|[1]
16:55:59.104 (182852236)|HEAP_ALLOCATE|[14]|Bytes:5
16:55:59.104 (182959544)|STATEMENT_EXECUTE|[268]
16:55:59.104 (182984624)|STATEMENT_EXECUTE|[281]
16:55:59.104 (182989464)|STATEMENT_EXECUTE|[289]
16:55:59.104 (182996427)|STATEMENT_EXECUTE|[300]
16:55:59.104 (183077298)|METHOD_EXIT|[1]|FlowUtility
16:55:59.104 (183108398)|HEAP_ALLOCATE|[14]|Bytes:4
16:55:59.104 (183296687)|CONSTRUCTOR_ENTRY|[14]|01p9A000001NDPC|<init>()|FlowUtility
16:55:59.104 (183464146)|VARIABLE_SCOPE_BEGIN|[1]|this|FlowUtility|true|false
16:55:59.104 (184330058)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x582a1df9
16:55:59.104 (184397849)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:55:59.104 (184432415)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
16:55:59.104 (185457090)|STATEMENT_EXECUTE|[1]
16:55:59.104 (185482410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:55:59.104 (185658799)|CONSTRUCTOR_EXIT|[14]|01p9A000001NDPC|<init>()|FlowUtility
16:55:59.104 (185705527)|VARIABLE_SCOPE_BEGIN|[14]|flowUtil|FlowUtility|true|false
16:55:59.104 (185795815)|VARIABLE_ASSIGNMENT|[14]|flowUtil|{}|0x582a1df9
16:55:59.104 (185813426)|STATEMENT_EXECUTE|[15]
16:55:59.104 (185844720)|HEAP_ALLOCATE|[15]|Bytes:4
16:55:59.104 (185916927)|HEAP_ALLOCATE|[15]|Bytes:8
16:55:59.104 (186240366)|HEAP_ALLOCATE|[15]|Bytes:32
16:55:59.104 (186284553)|SYSTEM_METHOD_ENTRY|[9]|Interview.Interview()
16:55:59.104 (186297671)|STATEMENT_EXECUTE|[9]
16:55:59.104 (186310081)|SYSTEM_METHOD_EXIT|[9]|Interview
16:55:59.104 (186360880)|METHOD_ENTRY|[15]||Flow.Interview.createInterview(String, Map<String,ANY>)
16:55:59.104 (254773673)|METHOD_ENTRY|[1]|3009A00000007Fh|Flow.Interview.Active_Contacts_Decision_Makers_Oppty.active_contacts_decision_makers_oppty()
16:55:59.104 (254817525)|STATEMENT_EXECUTE|[1]
16:55:59.104 (254884178)|ENTERING_MANAGED_PKG|Flow__Interview
16:55:59.104 (255083083)|METHOD_EXIT|[1]|Flow.Interview.Active_Contacts_Decision_Makers_Oppty
16:55:59.104 (255207795)|HEAP_ALLOCATE|[75]|Bytes:28
16:55:59.104 (255269525)|HEAP_ALLOCATE|[75]|Bytes:8
16:55:59.104 (255409175)|VARIABLE_SCOPE_BEGIN|[5]|this|Flow.Interview.Active_Contacts_Decision_Makers_Oppty|false|false
16:55:59.104 (255544706)|VARIABLE_ASSIGNMENT|[5]|this|null
16:55:59.104 (255581775)|VARIABLE_SCOPE_BEGIN|[5]|initialValues|Map<String,ANY>|true|false
16:55:59.104 (255708155)|VARIABLE_ASSIGNMENT|[5]|initialValues|{"recordId":"0069A000004K3XtQAK"}|0x60ed05b0
16:55:59.104 (257967599)|METHOD_EXIT|[15]||Flow.Interview.createInterview(String, Map<String,ANY>)
16:55:59.104 (258003711)|VARIABLE_SCOPE_BEGIN|[15]|flow|Flow.Interview|true|false
16:55:59.104 (258735081)|VARIABLE_ASSIGNMENT|[15]|flow|"interaction.apex.FlowInterview@4c2d7d13"|0x4c2d7d13
16:55:59.104 (258773094)|STATEMENT_EXECUTE|[16]
16:55:59.104 (258832414)|METHOD_ENTRY|[16]||Flow.Interview.start()
16:55:59.370 (370213393)|FLOW_CREATE_INTERVIEW_BEGIN|00D9A000000992B|3009A00000007Fh|3019A0000000Cqe
16:55:59.370 (371743611)|FLOW_CREATE_INTERVIEW_END|22a4afd3ec85d05ffbce3e73116d182021b4-7ea8|Active_Contacts_Decision_Makers_Oppty
16:55:59.374 (374000329)|FLOW_START_INTERVIEWS_BEGIN|1
16:55:59.374 (374142650)|FLOW_START_INTERVIEW_BEGIN|22a4afd3ec85d05ffbce3e73116d182021b4-7ea8|Active_Contacts_Decision_Makers_Oppty
16:55:59.374 (375902299)|FLOW_START_INTERVIEW_END|22a4afd3ec85d05ffbce3e73116d182021b4-7ea8|Active_Contacts_Decision_Makers_Oppty
16:55:59.374 (1094614124)|FLOW_START_INTERVIEWS_END|1
16:55:59.374 (1094800460)|FLOW_INTERVIEW_FINISHED|22a4afd3ec85d05ffbce3e73116d182021b4-7ea8|Active_Contacts_Decision_Makers_Oppty
16:55:59.104 (1096523269)|METHOD_EXIT|[16]||Flow.Interview.start()
16:55:59.104 (1096561947)|STATEMENT_EXECUTE|[17]
16:55:59.104 (1096598992)|HEAP_ALLOCATE|[17]|Bytes:7
16:55:59.104 (1096705423)|METHOD_ENTRY|[17]||Flow.Interview.getVariableValue(String)
16:55:59.104 (1097815305)|METHOD_EXIT|[17]||Flow.Interview.getVariableValue(String)
16:55:59.104 (1097868371)|VARIABLE_SCOPE_BEGIN|[17]|lightningList|List<SObject>|true|false
16:55:59.104 (1098050282)|VARIABLE_ASSIGNMENT|[17]|lightningList|[{"Id":"0039A000003gIRUQA2"},{"Id":"0039A000003gIRVQA2"},{"Id":"0039A000003gIRnQAM"}]|0x10f60e67
16:55:59.104 (1098070048)|STATEMENT_EXECUTE|[18]
16:55:59.104 (1098103065)|METHOD_ENTRY|[18]|01p9A000001NDPD|dataTableController.applyFieldSet(List<SObject>, String)
16:55:59.104 (1098147580)|VARIABLE_SCOPE_BEGIN|[35]|records|List<SObject>|true|false
16:55:59.104 (1098197405)|VARIABLE_ASSIGNMENT|[35]|records|[{"Id":"0039A000003gIRUQA2"},{"Id":"0039A000003gIRVQA2"},{"Id":"0039A000003gIRnQAM"}]|0x10f60e67
16:55:59.104 (1098219330)|VARIABLE_SCOPE_BEGIN|[35]|fieldSetName|String|false|false
16:55:59.104 (1098245724)|VARIABLE_ASSIGNMENT|[35]|fieldSetName|"Long_Form"
16:55:59.104 (1098260674)|STATEMENT_EXECUTE|[35]
16:55:59.104 (1098266476)|STATEMENT_EXECUTE|[36]
16:55:59.104 (1098281802)|HEAP_ALLOCATE|[36]|Bytes:4
16:55:59.104 (1098336809)|CONSTRUCTOR_ENTRY|[36]|01p9A000001NDPC|<init>()|FlowUtility
16:55:59.104 (1098408033)|VARIABLE_SCOPE_BEGIN|[1]|this|FlowUtility|true|false
16:55:59.104 (1098490523)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x472df254
16:55:59.104 (1098520263)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:55:59.104 (1098567052)|STATEMENT_EXECUTE|[1]
16:55:59.104 (1098576985)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:55:59.104 (1098602920)|CONSTRUCTOR_EXIT|[36]|01p9A000001NDPC|<init>()|FlowUtility
16:55:59.104 (1098622499)|VARIABLE_SCOPE_BEGIN|[36]|flowUtil|FlowUtility|true|false
16:55:59.104 (1098723586)|VARIABLE_ASSIGNMENT|[36]|flowUtil|{}|0x472df254
16:55:59.104 (1098739473)|STATEMENT_EXECUTE|[37]
16:55:59.104 (1098789701)|METHOD_ENTRY|[37]|01p9A000001NDPC|FlowUtility.getFieldListFromFieldSetFromSObjectList(List<SObject>, String)
16:55:59.104 (1098827091)|VARIABLE_SCOPE_BEGIN|[107]|this|FlowUtility|true|false
16:55:59.104 (1098880184)|VARIABLE_ASSIGNMENT|[107]|this|{}|0x472df254
16:55:59.104 (1098901894)|VARIABLE_SCOPE_BEGIN|[107]|sobjects|List<SObject>|true|false
16:55:59.104 (1098943696)|VARIABLE_ASSIGNMENT|[107]|sobjects|[{"Id":"0039A000003gIRUQA2"},{"Id":"0039A000003gIRVQA2"},{"Id":"0039A000003gIRnQAM"}]|0x10f60e67
16:55:59.104 (1098964239)|VARIABLE_SCOPE_BEGIN|[107]|fieldSetName|String|false|false
16:55:59.104 (1098988614)|VARIABLE_ASSIGNMENT|[107]|fieldSetName|"Long_Form"
16:55:59.104 (1099010287)|HEAP_ALLOCATE|[108]|Bytes:5
16:55:59.104 (1099025493)|STATEMENT_EXECUTE|[107]
16:55:59.104 (1099031266)|STATEMENT_EXECUTE|[108]
16:55:59.104 (1099357737)|VARIABLE_SCOPE_BEGIN|[108]|objType|Schema.SObjectType|true|false
16:55:59.104 (1099543681)|VARIABLE_ASSIGNMENT|[108]|objType|"common.apex.runtime.impl.ApexSObjectTypeToken@1afa7071"|0x1afa7071
16:55:59.104 (1099562622)|STATEMENT_EXECUTE|[109]
16:55:59.104 (1099909329)|HEAP_ALLOCATE|[109]|Bytes:4
16:55:59.104 (1099972235)|HEAP_ALLOCATE|[109]|Bytes:7
